Date,Open,High,Low,Close,Volume
10/20/2025,"255.89","264.38","255.63","262.24","90,483,031"
10/17/2025,"248.02","253.38","247.27","252.29","49,146,961"
10/16/2025,"248.25","249.04","245.13","247.45","39,776,969"
10/15/2025,"249.49","251.82","247.47","249.34","33,893,609"
10/14/2025,"246.60","248.85","244.70","247.77","35,477,992"
10/13/2025,"249.38","249.69","245.56","247.66","38,142,941"
10/10/2025,"254.94","256.38","244.00","245.27","61,999,102"
10/09/2025,"257.81","258.00","253.14","254.04","38,322,008"
10/08/2025,"256.52","258.52","256.11","258.06","36,496,898"
10/07/2025,"256.81","257.40","255.43","256.48","31,955,779"
10/06/2025,"257.99","259.07","255.05","256.69","44,664,121"
10/03/2025,"254.67","259.24","253.95","258.02","49,155,609"
10/02/2025,"256.58","258.18","254.15","257.13","42,630,238"
10/01/2025,"255.04","258.79","254.93","255.45","48,713,941"
09/30/2025,"254.86","255.92","253.11","254.63","37,704,262"
09/29/2025,"254.56","255.00","253.01","254.43","40,127,688"
09/26/2025,"254.10","257.60","253.78","255.46","46,076,262"
09/25/2025,"253.21","257.17","251.71","256.87","55,202,078"
09/24/2025,"255.22","255.74","251.04","252.31","42,303,711"
09/23/2025,"255.88","257.34","253.58","254.43","60,275,191"
09/22/2025,"248.30","256.64","248.12","256.08","105,517,398"
09/19/2025,"241.23","246.30","240.21","245.50","163,741,297"
09/18/2025,"239.97","241.20","236.65","237.88","44,249,578"
09/17/2025,"238.97","240.10","237.73","238.99","46,508,020"
09/16/2025,"237.18","241.22","236.32","238.15","63,421,102"
09/15/2025,"237.00","238.19","235.03","236.70","42,699,520"
09/12/2025,"229.22","234.51","229.02","234.07","55,824,219"
09/11/2025,"226.88","230.45","226.65","230.03","50,208,578"
09/10/2025,"232.19","232.42","225.95","226.79","83,440,805"
09/09/2025,"237.00","238.78","233.36","234.35","66,313,922"
09/08/2025,"239.30","240.15","236.34","237.88","48,999,500"
09/05/2025,"240.00","241.32","238.49","239.69","54,870,398"
09/04/2025,"238.45","239.90","236.74","239.78","47,549,434"
09/03/2025,"237.21","238.85","234.36","238.47","66,427,844"
09/02/2025,"229.25","230.85","226.97","229.72","44,075,641"
08/29/2025,"232.51","233.38","231.37","232.14","39,418,441"
08/28/2025,"230.82","233.41","229.34","232.56","38,074,699"
08/27/2025,"228.61","230.90","228.26","230.49","31,259,510"
08/26/2025,"226.87","229.49","224.69","229.31","54,575,113"
08/25/2025,"226.48","229.30","226.23","227.16","30,983,131"
08/22/2025,"226.17","229.09","225.41","227.76","42,477,809"
08/21/2025,"226.27","226.52","223.78","224.90","30,621,250"
